dir,k,step,x,y,z,T
Xp,0,0,4.4570,1.7000,2.6000,22.836
Xp,1,0,4.4570,1.7750,2.6000,18.601
Xp,2,0,4.4570,1.8500,2.6000,18.601
Xp,3,0,4.4570,1.9250,2.6000,18.272
Xp,4,0,4.4570,2.0000,2.6000,18.336
Xp,5,0,4.4570,2.0750,2.6000,18.336
Xp,6,0,4.4570,2.1500,2.6000,18.347
Xp,7,0,4.4570,2.2250,2.6000,18.678
Xp,8,0,4.4570,2.3000,2.6000,18.678
Xp,0,1,4.4254,1.7251,2.6046,22.836
Xp,1,1,4.5339,1.7930,2.5616,20.102
Xp,2,1,4.5682,1.8511,2.5643,19.461
Xp,3,1,4.5682,1.9261,2.5643,19.461
Xp,4,1,4.5677,1.9969,2.5640,19.530
Xp,5,1,4.5677,2.0719,2.5640,19.530
Xp,6,1,4.5610,2.1373,2.5601,19.581
Xp,7,1,4.5332,2.2058,2.5624,19.581
Xp,8,1,4.5332,2.2808,2.5624,20.348
Xp,0,2,4.5268,1.7388,2.5553,20.102
Xp,1,2,4.5729,1.8067,2.5403,20.102
Xp,2,2,4.6152,1.8527,2.5603,19.256
Xp,3,2,4.6152,1.9277,2.5603,19.256
Xp,4,2,4.6160,1.9909,2.5579,19.339
Xp,5,2,4.6160,2.0659,2.5579,19.339
Xp,6,2,4.6127,2.1233,2.5437,19.578
Xp,7,2,4.5848,2.1918,2.5460,19.581
Xp,8,2,4.5687,2.2654,2.5431,20.348
Xp,0,3,4.5657,1.7525,2.5340,20.102
Xp,1,3,4.6119,1.8204,2.5190,20.322
Xp,2,3,4.6721,1.8549,2.5538,19.256
Xp,3,3,4.6721,1.9299,2.5538,19.256
Xp,4,3,4.6737,1.9844,2.5493,19.339
Xp,5,3,4.6737,2.0594,2.5493,19.339
Xp,6,3,4.6694,2.1100,2.5264,19.578
Xp,7,3,4.6416,2.1785,2.5287,19.578
Xp,8,3,4.6042,2.2499,2.5238,20.348
Xp,0,4,4.6047,1.7662,2.5127,20.102
Xp,1,4,4.6496,1.8311,2.5003,20.322
Xp,2,4,4.7291,1.8571,2.5473,19.256
Xp,3,4,4.7291,1.9321,2.5473,19.256
Xp,4,4,4.7315,1.9779,2.5407,19.257
Xp,5,4,4.7315,2.0529,2.5407,19.257
Xp,6,4,4.7262,2.0967,2.5090,19.578
Xp,7,4,4.6984,2.1652,2.5113,19.578
Xp,8,4,4.6384,2.2375,2.5075,20.614
Xp,0,5,4.6425,1.7770,2.4940,20.322
Xp,1,5,4.6874,1.8419,2.4816,20.322
Xp,2,5,4.7935,1.8592,2.5378,19.148
Xp,3,5,4.7935,1.9342,2.5378,19.148
Xp,4,5,4.7957,1.9714,2.5292,19.257
Xp,5,5,4.7957,2.0464,2.5292,19.257
Xp,6,5,4.7841,2.0847,2.4915,19.257
Xp,7,5,4.7552,2.1519,2.4939,19.703
Xp,8,5,4.6726,2.2252,2.4912,20.614
Xp,0,6,4.6803,1.7878,2.4753,20.322
Xp,1,6,4.7252,1.8526,2.4629,19.256
Xp,2,6,4.8578,1.8613,2.5282,19.116
Xp,3,6,4.8578,1.9363,2.5282,19.116
Xp,4,6,4.8601,1.9734,2.5196,19.307
Xp,5,6,4.8600,2.0398,2.5177,19.307
Xp,6,6,4.8483,2.0782,2.4800,19.257
Xp,7,6,4.8130,2.1399,2.4764,19.703
Xp,8,6,4.7068,2.2129,2.4748,20.614
Xp,0,7,4.7180,1.7985,2.4566,20.322
Xp,1,7,4.7895,1.8547,2.4533,19.148
Xp,2,7,4.9301,1.8626,2.5144,19.116
Xp,3,7,4.9301,1.9376,2.5144,19.116
Xp,4,7,4.9301,1.9676,2.5048,19.116
Xp,5,7,4.9300,2.0340,2.5029,19.307
Xp,6,7,4.9184,2.0723,2.4652,19.307
Xp,7,7,4.8709,2.1279,2.4589,20.178
Xp,8,7,4.7636,2.1996,2.4575,19.703
Xp,0,8,4.7245,1.8043,2.4449,21.446
Xp,1,8,4.8125,1.8549,2.4378,20.213
Xp,2,8,5.0024,1.8639,2.5007,19.166
Xp,3,8,5.0024,1.9389,2.5007,19.166
Xp,4,8,5.0024,1.9688,2.4910,19.166
Xp,5,8,5.0001,2.0281,2.4880,19.410
Xp,6,8,4.9884,2.0664,2.4504,19.410
Xp,7,8,4.9230,2.1189,2.4432,20.926
Xp,8,8,4.7796,2.1884,2.4426,21.000
Xp,0,9,4.7262,1.8129,2.4367,21.446
Xp,1,9,4.8356,1.8551,2.4223,20.213
Xp,2,9,5.0760,1.8647,2.4861,19.166
Xp,3,9,5.0760,1.9397,2.4861,19.166
Xp,4,9,5.0760,1.9697,2.4765,19.166
Xp,5,9,5.0702,2.0226,2.4729,19.410
Xp,6,9,5.0288,2.0600,2.4296,20.142
Xp,7,9,4.9475,2.1107,2.4264,20.926
Xp,8,9,4.7956,2.1772,2.4277,21.000
Xp,0,10,4.7278,1.8215,2.4285,21.446
Xp,1,10,4.8587,1.8553,2.4068,19.889
Xp,2,10,5.1497,1.8651,2.4713,19.249
Xp,3,10,5.1497,1.9401,2.4713,19.249
Xp,4,10,5.1448,1.9646,2.4615,19.249
Xp,5,10,5.1389,2.0176,2.4579,19.551
Xp,6,10,5.0691,2.0536,2.4088,20.142
Xp,7,10,4.9720,2.1026,2.4095,20.976
Xp,8,10,4.8116,2.1660,2.4128,21.000
Xp,0,11,4.7295,1.8301,2.4203,21.349
Xp,1,11,4.8972,1.8548,2.3867,19.889
Xp,2,11,5.2233,1.8656,2.4565,19.358
Xp,3,11,5.2233,1.9406,2.4565,19.358
Xp,4,11,5.2184,1.9651,2.4467,19.720
Xp,5,11,5.2077,2.0125,2.4429,20.126
Xp,6,11,5.1127,2.0478,2.3879,20.126
Xp,7,11,4.9980,2.0957,2.3930,20.976
Xp,8,11,4.8277,2.1549,2.3980,21.000
Xp,0,12,4.7360,1.8359,2.4087,21.349
Xp,1,12,4.9358,1.8543,2.3665,19.889
Xp,2,12,5.2750,1.8644,2.4347,19.720
Xp,3,12,5.2750,1.9394,2.4347,19.720
Xp,4,12,5.2702,1.9639,2.4249,19.720
Xp,5,12,5.2533,2.0073,2.4223,20.143
Xp,6,12,5.1562,2.0421,2.3670,20.126
Xp,7,12,5.0241,2.0888,2.3766,20.142
Xp,8,12,4.8437,2.1437,2.3831,21.000
Xp,0,13,4.7424,1.8416,2.3970,21.349
Xp,1,13,4.9744,1.8539,2.3464,19.799
Xp,2,13,5.3267,1.8632,2.4129,19.720
Xp,3,13,5.3267,1.9382,2.4129,19.720
Xp,4,13,5.3219,1.9627,2.4031,19.720
Xp,5,13,5.2990,2.0021,2.4016,20.143
Xp,6,13,5.1998,2.0363,2.3461,20.126
Xp,7,13,5.0644,2.0824,2.3558,20.142
Xp,8,13,4.8681,2.1356,2.3662,20.926
Xp,0,14,4.7488,1.8474,2.3854,21.349
Xp,1,14,5.0186,1.8531,2.3253,20.134
Xp,2,14,5.3807,1.8619,2.3912,19.721
Xp,3,14,5.3807,1.9369,2.3912,19.721
Xp,4,14,5.3759,1.9613,2.3814,19.721
Xp,5,14,5.3446,1.9969,2.3810,20.187
